detail_id,source_id,geo_levels,year_from,year_to,coverage_notes,series_id,verified
ene.energy_intensity,eurostat,country,2004,,Eurostat energy intensity indicator (sdg_07_30),sdg_07_30?geo=PL&unit=EUR_KGOE,true
ene.energy_intensity,are,country,2005,,ARE energy balance denominator data,,false
pop.population_total,bdl,country,2004,,BDL population module; 31 December annual estimate,,false
pop.population_total,eurostat,country,2004,,Eurostat demo_gind; EU comparable,demo_gind?geo=PL&indic_de=JAN,true
pop.population_total,un_wpp,country,1950,,UN WPP historical + projections to 2100,,false
pop.population_regional,bdl,country|voivodeship|county|municipality,2004,,BDL TERYT-linked population by administrative unit,,false
pop.population_regional,eurostat,country|voivodeship,2004,,Eurostat NUTS2/NUTS3 regional population (demo_r_pjanaggr3),demo_r_pjanaggr3?age=TOTAL&geo=PL&sex=T,true
pop.births,bdl,country|voivodeship,2004,,BDL vital statistics; monthly,,false
pop.births,eurostat,country,2004,,Eurostat live births (demo_gind),demo_gind?geo=PL&indic_de=GBIRTHRT,true
pop.deaths,bdl,country|voivodeship,2004,,BDL vital statistics; monthly,,false
pop.deaths,eurostat,country,2004,,Eurostat deaths (demo_gind),demo_gind?geo=PL&indic_de=GDEATHRT,true
pop.natural_increase,bdl,country|voivodeship,2004,,BDL derived vital statistics,,false
pop.births,demografia,country|voivodeship,2000,,GUS demografia portal; detailed age-sex breakdowns,,false
pop.deaths,demografia,country|voivodeship,2000,,GUS demografia portal,,false
pop.natural_increase,demografia,country|voivodeship,2000,,GUS demografia portal,,false
pop.net_migration,bdl,country,2004,,BDL net migration (permanent residence basis),,false
pop.net_migration,eurostat,country,2004,,Eurostat migration (migr_imm5prv),migr_imm5prv?age=TOTAL&agedef=COMPLET&geo=PL&partner=EXT_EU27_2020&sex=T,false
pop.life_expectancy_m,bdl,country|voivodeship,2004,,BDL GUS life tables; annual,,false
pop.life_expectancy_m,eurostat,country,2004,,Eurostat complete life tables (demo_mlexpec),demo_mlexpec?age=Y_LT1&geo=PL&sex=M,true
pop.life_expectancy_m,who,country,2000,,WHO GHO life expectancy,,false
pop.life_expectancy_f,bdl,country|voivodeship,2004,,BDL GUS female life tables,,false
pop.life_expectancy_f,eurostat,country,2004,,Eurostat demo_mlexpec,demo_mlexpec?age=Y_LT1&geo=PL&sex=F,true
pop.life_expectancy_f,who,country,2000,,WHO GHO,,false
pop.fertility_rate,bdl,country|voivodeship,2004,,BDL TFR annual,,false
pop.fertility_rate,eurostat,country,2004,,Eurostat total fertility rate (demo_gind),demo_gind?geo=PL&indic_de=TFRT,false
pop.fertility_rate,un_wpp,country,1950,,UN WPP TFR historical + projections,,false
pop.median_age,bdl,country|voivodeship,2004,,BDL age structure,,false
pop.median_age,eurostat,country,2004,,Eurostat median age (demo_pjagc),demo_pjagc?geo=PL&sex=T,false
pop.median_age,un_wpp,country,1950,,UN WPP median age series,,false
pop.old_age_dependency_ratio,bdl,country,2004,,BDL derived from age structure,,false
pop.old_age_dependency_ratio,eurostat,country,2004,,Eurostat old age dependency ratio (demo_r_d2jan),demo_r_d2jan?geo=PL&indic_de=OLDDR&sex=T,false
pop.urbanisation_rate,bdl,country|voivodeship,2004,,BDL urban/rural population classification,,false
pop.urbanisation_rate,eurostat,country,2004,,Eurostat urban share (demo_r_gind3),demo_r_gind3?geo=PL&indic_de=GPCURBPOP,false
pop.urbanisation_rate,worldbank,country,2000,,World Bank SP.URB.TOTL.IN.ZS,,false
hlt.life_expectancy_m,bdl,country|voivodeship,2004,,BDL via GUS life tables,,false
hlt.life_expectancy_m,who,country,2000,,WHO GHO global health observatory,,false
hlt.life_expectancy_m,eurostat,country,2004,,Eurostat demo_mlexpec,demo_mlexpec?age=Y_LT1&geo=PL&sex=M,true
hlt.life_expectancy_f,bdl,country|voivodeship,2004,,BDL female life tables,,false
hlt.life_expectancy_f,who,country,2000,,WHO GHO,,false
hlt.life_expectancy_f,eurostat,country,2004,,Eurostat,demo_mlexpec?age=Y_LT1&geo=PL&sex=F,true
hlt.infant_mortality_rate,bdl,country|voivodeship,2004,,BDL infant mortality; GUS vital statistics,,false
hlt.infant_mortality_rate,eurostat,country,2004,,Eurostat (demo_minfind),demo_minfind?geo=PL&unit=RT,true
hlt.infant_mortality_rate,who,country,2000,,WHO GHO,,false
hlt.cancer_incidence,csioz,country|voivodeship,2005,,CeZ / KRN cancer registry; 2-year publication lag,,false
hlt.cancer_incidence,nizp_pzh,country,2005,,NIZP-PZH KRN data; published in annual bulletins,,false
hlt.cancer_incidence,who,country,2000,,WHO GCO / IARC Globocan,,false
hlt.cardiovascular_mortality,csioz,country|voivodeship,2005,,CeZ ICD-10 mortality statistics,,false
hlt.cardiovascular_mortality,eurostat,country,2004,,Eurostat causes of death (hlth_cd_anr),hlth_cd_anr?age=TOTAL&geo=PL&sex=T&unit=NR,true
hlt.cardiovascular_mortality,who,country,2000,,WHO GHO cause-of-death estimates,,false
hlt.hospital_bed_density,csioz,country|voivodeship,2005,,CeZ hospital register statistics,,false
hlt.hospital_bed_density,nfz,country,2010,,NFZ contracted hospital capacity data,,false
hlt.hospital_bed_density,eurostat,country,2004,,Eurostat health care resources (hlth_rs_bds),hlth_rs_bds?facility=HBEDT&geo=PL&unit=P_HTHAB,true
hlt.hospital_bed_density,who,country,2000,,WHO GHO hospital beds per 1000,,false
hlt.physician_density,csioz,country|voivodeship,2005,,CeZ medical staff register,,false
hlt.physician_density,eurostat,country,2004,,Eurostat health care professionals (hlth_rs_prshp1),hlth_rs_prshp1?geo=PL&isco08=OC221&unit=HC_HTHAB,false
hlt.physician_density,who,country,2000,,WHO GHO,,false
hlt.nfz_expenditure,nfz,country,2004,,NFZ annual reports and financial plans; total expenditure,,false
hlt.nfz_expenditure,eurostat,country,2004,,Eurostat health expenditure (hlth_sha11_hf); NFZ = compulsory schemes,hlth_sha11_hf?geo=PL&icha_hf=HF1&unit=PC_CHE,false
hlt.vaccination_coverage_childhood,gis,country|voivodeship,2005,,GIS annual immunisation programme report,,false
hlt.vaccination_coverage_childhood,nizp_pzh,country,2005,,NIZP-PZH szczepienia bulletin,,false
hlt.vaccination_coverage_childhood,ecdc,country,2004,,ECDC Vaccine Preventable Diseases monitoring,,false
hlt.obesity_rate,sdp,country,2004,,GUS health surveys (badanie stanu zdrowia ludności),,false
hlt.obesity_rate,who,country,2000,,WHO STEPS / NCD prevalence estimates,,false
hlt.obesity_rate,eurostat,country,2004,,Eurostat EHIS health determinants (hlth_ehis_bm1i),hlth_ehis_bm1i?age=TOTAL&bmi=BMI_GE30&geo=PL&sex=T&unit=PC,true
hlt.smoking_rate,sdp,country,2004,,GUS health survey,,false
hlt.smoking_rate,nizp_pzh,country,2005,,NIZP-PZH tobacco use surveillance,,false
hlt.smoking_rate,who,country,2000,,WHO STEPS tobacco estimates,,false
hlt.waiting_time_specialist,nfz,country|voivodeship,2012,,NFZ kolejki portal; outpatient specialist queues; quarterly,,false
hlt.mental_health_hospitalisations,csioz,country|voivodeship,2005,,CeZ hospital morbidity study; ICD-10 F00-F99,,false
hlt.mental_health_hospitalisations,nfz,country,2010,,NFZ hospitalisation data by diagnosis,,false
hlt.mental_health_hospitalisations,eurostat,country,2004,,Eurostat hospital discharges by ICD-10 (hlth_co_disch1),hlth_co_disch1?geo=PL&icd10=F00-F99&sex=T&unit=P_HTHAB,false
edu.school_enrolment_primary,sio,country|voivodeship,2008,,SIO annual data as of 30 September school year,,false
edu.school_enrolment_primary,bdl,country|voivodeship,2004,,BDL education module,,false
edu.school_enrolment_primary,eurostat,country,2004,,Eurostat education statistics (educ_uoe_enrt01),educ_uoe_enrt01?geo=PL&isced11=ED1&sex=T&unit=NR,false
edu.school_enrolment_secondary,sio,country|voivodeship,2008,,SIO secondary school enrolment (LO + technikum + branżowe),,false
edu.school_enrolment_secondary,bdl,country|voivodeship,2004,,BDL,,false
edu.school_enrolment_secondary,eurostat,country,2004,,Eurostat ISCED 3,educ_uoe_enrt01?geo=PL&isced11=ED3_4&sex=T&unit=NR,false
edu.school_enrolment_tertiary,polon,country|voivodeship,2012,,POL-on student registration; annual,,false
edu.school_enrolment_tertiary,eurostat,country,2004,,Eurostat ISCED 5-8 (educ_uoe_enrt01),educ_uoe_enrt01?geo=PL&isced11=ED5-8&sex=T&unit=NR,true
edu.matura_pass_rate,dane_gov,country,2012,,CKE matura results published on dane.gov.pl,,false
edu.matura_pass_rate,sdp,country,2005,,GUS SDP education statistics,,false
edu.university_count,polon,country|voivodeship,2012,,POL-on institution register; active HEIs,,false
edu.academic_staff_count,polon,country|voivodeship,2012,,POL-on academic staff register,,false
edu.academic_staff_count,bdl,country,2004,,BDL higher education module,,false
edu.phd_candidates,polon,country|voivodeship,2019,,POL-on doctoral school register (post-2018 reform),,false
edu.phd_candidates,eurostat,country,2004,,Eurostat ISCED 8 doctoral enrolment,educ_uoe_enrt01?geo=PL&isced11=ED8&sex=T&unit=NR,true
edu.education_expenditure_gdp,mf,country,2005,,MF budget execution education expenditure,,false
edu.education_expenditure_gdp,eurostat,country,2004,,Eurostat general government expenditure by function (gov_10a_exp); COFOG 09,gov_10a_exp?cofog99=GF09&geo=PL&na_item=TE&sector=S13&unit=PC_GDP,false
edu.teachers_count,sio,country|voivodeship,2008,,SIO teacher counts per school year,,false
edu.teachers_count,bdl,country|voivodeship,2004,,BDL teachers in primary and secondary education,,false
edu.early_school_leavers,sdp,country,2004,,GUS LFS BAEL-derived; persons 18-24 with at most ISCED 2,,false
edu.early_school_leavers,eurostat,country,2004,,Eurostat early leavers from education (edat_lfse_14),edat_lfse_14?age=Y18-24&geo=PL&sex=T,true
edu.tertiary_attainment_rate,sdp,country,2004,,GUS LFS 30-34 with ISCED 5+ attainment,,false
edu.tertiary_attainment_rate,eurostat,country,2004,,Eurostat tertiary attainment (edat_lfse_03),edat_lfse_03?age=Y30-34&geo=PL&sex=T,true
soc.household_income_avg,sdp,country,2004,,GUS EU-SILC (badanie spójności społecznej); annual,,false
soc.household_income_avg,eurostat,country,2004,,Eurostat EU-SILC (ilc_di03),ilc_di03?geo=PL&unit=EUR,true
soc.poverty_rate,sdp,country,2004,,GUS EU-SILC at-risk-of-poverty rate (ARPR),,false
soc.poverty_rate,eurostat,country,2004,,Eurostat ilc_li02; EU comparable 60% median threshold,ilc_li02?age=TOTAL&geo=PL&sex=T&unit=PC,true
soc.severe_material_deprivation,sdp,country,2004,,GUS EU-SILC severe material deprivation (SMD),,false
soc.severe_material_deprivation,eurostat,country,2004,,Eurostat ilc_mddd11,ilc_mddd11?age=TOTAL&geo=PL&sex=T&unit=PC,true
soc.gini_coefficient,sdp,country,2004,,GUS EU-SILC Gini coefficient,,false
soc.gini_coefficient,eurostat,country,2004,,Eurostat Gini (ilc_di12),ilc_di12?geo=PL,true
soc.gini_coefficient,worldbank,country,2000,,World Bank SI.POV.GINI; for longer historical series,,false
soc.social_benefits_total,zus,country,2005,,ZUS combined pension + disability + sickness payments,,false
soc.social_benefits_total,mrpips,country,2005,,MRPiPS family benefits; unemployment benefits,,false
soc.pension_average,zus,country,2005,,ZUS statistical bulletin average old-age pension amount,,false
soc.disability_benefit_recipients,pfron,country,2010,,PFRON disability support programme statistics,,false
soc.childcare_coverage_0_3,mrpips,country|voivodeship,2012,,MRPiPS childcare register (żłobki); annual; CRZŻ register,,false
soc.childcare_coverage_0_3,bdl,country|voivodeship,2012,,BDL childcare infrastructure,,false
soc.childcare_coverage_0_3,eurostat,country,2004,,Eurostat formal childcare (ilc_caindother),ilc_caindother?age=Y_LT3&geo=PL&unit=PC,true
soc.child_benefit_beneficiaries,mrpips,country,2016,,MRPiPS monthly 800+ (formerly 500+) programme statistics,,false
soc.social_assistance_recipients,mrpips,country|voivodeship,2005,,MRPiPS annual social assistance beneficiaries report,,false
soc.social_assistance_recipients,bdl,country|voivodeship,2004,,BDL social welfare module,,false
soc.minimum_wage,mrpips,country,2000,,MRPiPS statutory regulation; semi-annual from 2023,,false
soc.minimum_wage,eurostat,country,2004,,Eurostat statutory minimum wages (earn_mw_cur),earn_mw_cur?currency=EUR&geo=PL,true
crm.crime_total,policja,country,2000,,Policja annual crime statistics (przestępczość); yearbook,,false
crm.crime_total,bdl,country,2004,,BDL safety and justice module,,false
crm.crime_rate,policja,country,2000,,Policja calculated per 100k; yearbook,,false
crm.crime_rate,eurostat,country,2004,,Eurostat crime statistics (crim_gen_reg),crim_gen_reg?geo=PL,true
crm.crime_regional,policja,country|voivodeship,2000,,Policja regional command data; annual yearbook tables,,false
crm.crime_regional,bdl,country|voivodeship,2004,,BDL crime by voivodeship,,false
crm.violent_crime,policja,country,2000,,Policja crime category: przestępstwa z użyciem przemocy,,false
crm.violent_crime,eurostat,country,2004,,Eurostat intentional homicide + assault (crim_gen),crim_gen?geo=PL&iccs=ICCS0101,true
crm.theft_total,policja,country,2000,,Policja kradzieże + włamania combined category,,false
crm.cybercrime,policja,country,2015,,Policja cybercrime (art. 267-269 KK) statistics,,false
crm.cybercrime,nask,country,2015,,NASK CERT Polska cybercrime incident reports,,false
crm.court_cases_filed,ms_stat,country,2005,,MS judicial statistics portal ISWS; all court levels,,false
crm.court_cases_resolved,ms_stat,country,2005,,MS ISWS resolved cases,,false
crm.court_pending_backlog,ms_stat,country,2005,,MS ISWS pending cases end of year,,false
crm.prison_population,sw,country|voivodeship,2005,,SW monthly population report,,false
crm.prison_population,eurostat,country,2004,,Eurostat prison population (crim_pris_pop); annual,crim_pris_pop?geo=PL,true
crm.road_accidents,policja,country|voivodeship,2000,,Policja road accident database; monthly aggregates,,false
crm.road_accidents,eurostat,country,2004,,Eurostat road safety (tran_sf_roadse),tran_sf_roadse?geo=PL&unit=NR&victim=TOT_INJ,false
crm.domestic_violence_incidents,policja,country,2010,,Policja Niebieska Karta statistics; annual,,false
crm.domestic_violence_incidents,mrpips,country,2010,,MRPiPS coordinates NK procedures; joint reporting,,false
clt.tourist_arrivals_intl,pot,country,2005,,POT inbound tourism statistics; annual border survey,,false
clt.tourist_arrivals_intl,bdl,country,2004,,BDL tourism module,,false
clt.tourist_arrivals_intl,eurostat,country,2004,,Eurostat tourism (tour_occ_arm),tour_occ_arm?c_resid=FOR&geo=PL&unit=NR,true
clt.overnight_stays_domestic,bdl,country|voivodeship,2004,,BDL accommodation statistics; monthly,,false
clt.overnight_stays_domestic,eurostat,country,2004,,Eurostat tourism overnight stays (tour_occ_nim),tour_occ_nim?c_resid=R_DOM&geo=PL&unit=NR,true
clt.hotel_occupancy_rate,bdl,country|voivodeship,2004,,BDL bed occupancy rate monthly,,false
clt.hotel_occupancy_rate,eurostat,country,2004,,Eurostat net occupancy rate (tour_occ_nim),tour_occ_nim?c_resid=TOTAL&geo=PL&unit=NR,true
clt.museum_visits,mkidn,country|voivodeship,2005,,MKiDN annual culture statistics; museum attendance,,false
clt.museum_visits,bdl,country|voivodeship,2004,,BDL culture module,,false
clt.cinema_admissions,mkidn,country,2005,,MKiDN / PISF annual cinema attendance,,false
clt.cinema_admissions,bdl,country,2004,,BDL culture module,,false
clt.library_borrowings,bn,country|voivodeship,2005,,BN annual library statistics report,,false
clt.library_borrowings,bdl,country|voivodeship,2004,,BDL culture + library module,,false
clt.tourism_revenue_intl,nbp,country,2000,,NBP BoP travel services credit; annual,,false
clt.tourism_revenue_intl,eurostat,country,2004,,Eurostat BoP travel (bop_its6_det) credit,bop_its6_det?bop_item=TRVL&currency=MIO_EUR&geo=PL&partner=EXT_EU27_2020&stk_flow=CR,false
clt.culture_expenditure_gdp,mf,country,2005,,MF budget execution COFOG 08 (recreation + culture),,false
clt.culture_expenditure_gdp,eurostat,country,2004,,Eurostat general government expenditure COFOG 08,gov_10a_exp?cofog99=GF08&geo=PL&na_item=TE&sector=S13&unit=PC_GDP,false
clt.sport_facilities_count,msit,country|voivodeship,2010,,MSiT sport facilities database (BDB); annual snapshot,,false
clt.sport_facilities_count,bdl,country|voivodeship,2004,,BDL sport infrastructure module,,false
env.pm25_annual_mean,gios,country|voivodeship,2010,,GIOŚ annual air quality assessment; PM2.5 mean by zone,,false
env.pm25_annual_mean,eea,country,2004,,EEA air quality statistics; EU 27 comparable (AQD e-Reporting),,false
env.pm25_annual_mean,eurostat,country,2004,,Eurostat air quality (sdg_11_50); EU harmonised,sdg_11_50?geo=PL&unit=UG_M3,false
env.pm10_annual_mean,gios,country|voivodeship,2004,,GIOŚ monitoring network; PM10 annual mean,,false
env.pm10_annual_mean,eea,country,2004,,EEA AQD e-Reporting,,false
env.pm25_station,gios,country|voivodeship|local,2015,,GIOŚ station-level API; real-time and hourly historical,,false
env.ghg_emissions_total,kobize,country,2000,,KOBIZE National GHG Inventory; 2-year lag; UNFCCC submission,,false
env.ghg_emissions_total,eea,country,2000,,EEA EU GHGI; country data; UNFCCC CRF basis,,false
env.ghg_emissions_total,eurostat,country,2004,,Eurostat GHG emissions (env_air_gge),env_air_gge?airpol=GHG&geo=PL&src_crf=TOTXMEMO&unit=MIO_T,true
env.ghg_emissions_sectoral,kobize,country,2000,,KOBIZE sectoral breakdown by IPCC source categories,,false
env.ghg_emissions_sectoral,eea,country,2000,,EEA national inventory reports by sector,,false
env.renewable_energy_share,ure,country,2010,,URE annual RES report; POZE share in gross final energy,,false
env.renewable_energy_share,eurostat,country,2004,,Eurostat RES share (nrg_ind_ren); EU RED target metric,nrg_ind_ren?geo=PL&nrg_bal=REN&unit=PC,true
env.renewable_energy_share,iea,country,2000,,IEA Renewable Electricity Statistics,,false
env.forest_area,lasy_panstwowe,country,2000,,LP annual reports; state forests area,,false
env.forest_area,eea,country,2000,,EEA forest area (CORINE Land Cover); 6-year cycle,,false
env.forest_area,bdl,country|voivodeship,2004,,BDL environment module including private forests,,false
env.municipal_waste_generated,bdl,country,2004,,BDL waste management module; municipal waste per capita,,false
env.municipal_waste_generated,eurostat,country,2004,,Eurostat municipal waste statistics (env_wasmun),env_wasmun?geo=PL&unit=KG_HAB&wst_oper=GEN,true
env.municipal_waste_recycling_rate,bdl,country,2004,,BDL recycling rate; GUS annual,,false
env.municipal_waste_recycling_rate,eurostat,country,2004,,Eurostat recycling rate (env_wasmun),env_wasmun?geo=PL&unit=PC&wst_oper=RCY,false
env.water_abstractions,bdl,country|voivodeship,2004,,BDL water use statistics,,false
env.water_abstractions,eurostat,country,2004,,Eurostat freshwater abstractions (env_wat_abs),env_wat_abs?geo=PL&unit=MIO_M3&wat_proc=ABST&wat_src=FRW,true
env.water_abstractions,wody_polskie,country|voivodeship,2018,,Wody Polskie permit and use data,,false
env.temperature_anomaly,imgw,country,1951,,IMGW-PIB national climate monitoring; baseline 1961-1990,,false
env.temperature_anomaly,copernicus,country,1979,,Copernicus C3S ERA5 reanalysis; gridded; Poland area average,,false
env.precipitation_anomaly,imgw,country,1951,,IMGW-PIB climate normals comparison,,false
env.precipitation_anomaly,copernicus,country,1979,,Copernicus C3S ERA5 precipitation,,false
env.bathing_water_quality,gios,country|voivodeship,2010,,GIOŚ bathing water quality assessment; annual season report,,false
env.bathing_water_quality,eea,country,2004,,EEA Bathing Water Directive reporting portal,,false
env.air_quality_index_cities,gios,country|voivodeship|local,2015,,GIOŚ API; daily AQI for major Polish cities,,false
sci.rd_expenditure_gdp,opi_pib,country,2005,,OPI PIB R&D expenditure survey (GERD); annual,,false
sci.rd_expenditure_gdp,eurostat,country,2004,,Eurostat R&D expenditure (rd_e_gerdtot); EU comparable,rd_e_gerdtot?geo=PL&sectperf=TOTAL&unit=PC_GDP,true
sci.rd_expenditure_gdp,oecd,country,2004,,OECD MSTI Main Science and Technology Indicators,,false
sci.rd_expenditure_total,opi_pib,country,2005,,OPI PIB GERD in PLN,,false
sci.rd_expenditure_total,eurostat,country,2004,,Eurostat GERD,rd_e_gerdtot?geo=PL&sectperf=TOTAL&unit=MIO_EUR,true
sci.rd_expenditure_total,oecd,country,2004,,OECD MSTI,,false
sci.researchers_count,opi_pib,country,2005,,OPI PIB R&D personnel (FTE researchers),,false
sci.researchers_count,eurostat,country,2004,,Eurostat R&D personnel (rd_p_persocc),rd_p_persocc?geo=PL&prof_pos=TOTAL&sectperf=TOTAL&sex=T&unit=FTE,true
sci.researchers_count,oecd,country,2004,,OECD MSTI researchers FTE,,false
sci.patent_applications,opi_pib,country,2005,,OPI PIB patent statistics (UPRP + EPO by applicant country),,false
sci.patent_applications,eurostat,country,2004,,Eurostat EPO patent applications (pat_ep_ntot),pat_ep_ntot?geo=PL&unit=NR,true
sci.ncn_grants_awarded,ncn,country,2010,,NCN annual report; grants by competition and discipline,,false
sci.broadband_coverage,uke,country|voivodeship,2012,,UKE annual broadband coverage report; household %,,false
sci.broadband_coverage,eurostat,country,2012,,Eurostat DESI broadband coverage (isoc_bde15cov),isoc_bde15cov?broadband=BB_GE30&geo=PL&unit=PC_HH,false
sci.internet_usage_rate,sdp,country,2004,,GUS ICT survey (badanie wykorzystania technologii informacyjno-komunikacyjnych),,false
sci.internet_usage_rate,eurostat,country,2004,,Eurostat DESI / ICT survey (isoc_ci_ifp_iu),isoc_ci_ifp_iu?geo=PL&ind_type=IND_TOTAL&unit=PC_IND,true
sci.ecommerce_participation,sdp,country,2004,,GUS ICT survey e-commerce purchases,,false
sci.ecommerce_participation,eurostat,country,2004,,Eurostat (isoc_ec_ibuy),isoc_ec_ibuy?geo=PL&ind_type=IND_TOTAL&unit=PC_IND,true
sci.mobile_subscriptions,uke,country,2010,,UKE market data; active SIM subscriptions,,false
sci.mobile_subscriptions,eurostat,country,2004,,Eurostat (isoc_tc_mob1),isoc_tc_mob1?geo=PL&unit=P_100HAB,false
sci.mobile_subscriptions,worldbank,country,2000,,World Bank IT.CEL.SETS.P2,,false
sci.digital_public_services,sdp,country,2004,,GUS ICT survey e-government usage (12-month recall),,false
sci.digital_public_services,eurostat,country,2004,,Eurostat DESI digital public services (isoc_ci_ac_i),isoc_ci_ac_i?geo=PL&ind_type=IND_TOTAL&unit=PC_IND,true
sci.cybersecurity_incidents,nask,country,2015,,NASK / CERT Polska annual threat landscape report,,false
