detail_id,domain_id,name,unit,frequency,detail_type,entity_level,description,notes
clt.sport_facilities_count,CLT,Sport Facilities Count,count,annual,indicator,national,Number of registered sport facilities (stadiums + halls + pools) in MSIT database,MSIT
env.pm25_annual_mean,ENV,PM2.5 Annual Mean Concentration,µg/m³,annual,indicator,national,Area-weighted annual mean PM2.5 concentration across monitoring stations,GIOŚ; WHO guideline = 5 µg/m³
env.pm10_annual_mean,ENV,PM10 Annual Mean Concentration,µg/m³,annual,indicator,national,Area-weighted annual mean PM10 concentration,GIOŚ
env.pm25_station,ENV,PM2.5 Hourly Measurement (Station),µg/m³,real_time,micro_indicator,local,Hourly PM2.5 reading at individual air quality monitoring station,GIOŚ GZIOŚ portal; entity = local station
env.ghg_emissions_total,ENV,Total GHG Emissions,million t CO2eq,annual,indicator,national,Total greenhouse gas emissions (CO2 + CH4 + N2O + F-gases) in CO2 equivalent,KOBIZE National Inventory; 2-year lag
env.ghg_emissions_sectoral,ENV,GHG Emissions by Sector,million t CO2eq,annual,indicator,sectoral,GHG emissions by IPCC sector (energy / industry / agriculture / LULUCF / waste),KOBIZE; entity = sector (dim_sector)
env.renewable_energy_share,ENV,Renewable Energy Share in Final Consumption,%,annual,indicator,national,RES share in gross final energy consumption (EU RED target metric),URE / Eurostat
env.forest_area,ENV,Forest Area,thousand ha,annual,indicator,national,Total forest area including State Forests and private forests,GUS / LP
env.municipal_waste_generated,ENV,Municipal Waste Generated Per Capita,kg/capita,annual,indicator,national,Municipal waste generated per person per year,GUS / Eurostat
env.municipal_waste_recycling_rate,ENV,Municipal Waste Recycling Rate,%,annual,indicator,national,Share of municipal waste prepared for reuse and recycling,GUS / Eurostat
env.water_abstractions,ENV,Freshwater Abstractions,million m³,annual,indicator,national,Total freshwater abstraction by all sectors,GUS environmental statistics
env.temperature_anomaly,ENV,Annual Mean Temperature Anomaly,°C,annual,indicator,national,Deviation of annual mean temperature from 1961-1990 baseline,IMGW-PIB; indicator of climate change trend
env.precipitation_anomaly,ENV,Annual Precipitation Anomaly,%,annual,indicator,national,Deviation of annual precipitation from 1961-1990 mean (%),IMGW-PIB
env.bathing_water_quality,ENV,Excellent Bathing Water Quality Share,%,annual,indicator,national,Share of designated bathing sites rated 'excellent' quality,GIOŚ / EEA bathing water register
env.air_quality_index_cities,ENV,Air Quality Index — Major Cities,index,daily,indicator,local,Daily AQI composite (PM2.5 + PM10 + NO2 + O3) for major Polish cities,GIOŚ GZIOŚ portal
sci.rd_expenditure_gdp,SCI,R&D Expenditure as % of GDP,%,annual,indicator,national,Gross domestic expenditure on R&D (GERD) as share of GDP,GUS; EU target = 3%
sci.rd_expenditure_total,SCI,Total R&D Expenditure (GERD),PLN mn,annual,indicator,national,Gross domestic expenditure on R&D at current prices,GUS
sci.researchers_count,SCI,Researchers (FTE),count,annual,indicator,national,Researchers in R&D employment (full-time equivalent),GUS
sci.patent_applications,SCI,Patent Applications (UPRP + EPO),count,annual,indicator,national,Patent applications filed at UPRP and European Patent Office by Polish entities,UPRP / EPO
sci.ncn_grants_awarded,SCI,NCN Research Grants Awarded,count,annual,indicator,national,Research grants awarded by Narodowe Centrum Nauki,NCN annual report
sci.broadband_coverage,SCI,Broadband Coverage ≥30 Mbps,% households,annual,indicator,national,Share of households covered by fixed broadband ≥30 Mbps,UKE / Eurostat DESI
sci.internet_usage_rate,SCI,Internet Usage Rate (16-74),%,annual,indicator,national,Share of individuals aged 16-74 using internet in the last 3 months,GUS / Eurostat
sci.ecommerce_participation,SCI,E-Commerce Participation (Individuals),%,annual,indicator,national,Share of individuals aged 16-74 who bought online in the last 12 months,GUS / Eurostat
sci.mobile_subscriptions,SCI,Mobile Subscriptions per 100 Persons,per 100,annual,indicator,national,Active mobile SIM subscriptions per 100 population,UKE market data
sci.digital_public_services,SCI,Digital Public Services Usage Rate,%,annual,indicator,national,Share of individuals who used e-government services online in last 12 months,GUS / Eurostat DESI
sci.cybersecurity_incidents,SCI,CERT/NASK Reported Incidents,count,annual,indicator,national,Cybersecurity incidents reported to CERT Polska / NASK,NASK annual report
